symbol,open,high,low,close,MA5,MA50,ADX,RSI,RSIMA100
NSE:BEL,118.75,118.75,118.45,118.55,98047.0,118.66,118.81,48.27,31.58,35.77
NSE:BHARTIARTL,867.3,867.85,866.85,867.05,47463.0,867.03,866.21,18.37,24.71,50.41
NSE:SBIN,572.3,573.0,571.95,572.85,213780.0,572.47,566.15,27.86,88.33,53.56
NSE:TITAN,3023.65,3025.95,3022.55,3025.75,4266.0,3022.88,2990.57,14.29,64.38,62.03
NSE:BPCL,363.0,363.3,362.85,363.2,40609.0,362.27,360.82,17.82,87.5,51.84
NSE:TATAMOTORS,585.35,586.45,585.3,586.0,192244.0,586.57,576.72,36.73,71.51,51.23
NSE:GAIL,104.35,104.45,104.25,104.45,87184.0,104.42,104.25,20.09,59.26,46.19
NSE:ADANIPORTS,740.0,740.2,739.55,740.1,97420.0,739.37,727.57,26.53,75.07,48.35
NSE:IRCTC,631.0,631.3,630.75,631.3,5266.0,631.02,631.92,28.96,46.75,41.93
NSE:LT,2414.6,2416.75,2413.6,2416.75,9688.0,2415.9,2398.36,46.7,77.46,52.65
NSE:TATACONSUM,856.6,858.0,856.2,857.85,8942.0,856.71,855.3,12.28,64.23,43.64
NSE:ZOMATO,75.8,75.85,75.8,75.85,44097.0,75.83,76.03,17.29,50.0,48.33
NSE:COALINDIA,226.35,226.35,226.2,226.2,54612.0,226.32,225.48,25.61,72.0,57.69
NSE:DIVISLAB,3623.75,3626.0,3622.65,3625.0,2664.0,3622.32,3599.78,6.12,53.52,59.0
NSE:NESTLEIND,22685.0,22685.9,22652.55,22679.8,1097.0,22680.08,22628.92,9.18,59.89,46.88
NSE:SRF,2313.95,2314.85,2312.5,2313.35,4114.0,2310.74,2309.34,20.41,71.86,39.89
NSE:ICICIGI,1324.65,1327.75,1323.0,1327.75,7250.0,1326.07,1322.2,8.16,71.79,57.88
NSE:HAVELLS,1287.4,1287.4,1286.45,1287.1,5907.0,1287.39,1290.71,15.86,39.5,47.04
NSE:SUNPHARMA,1007.45,1008.35,1007.2,1007.4,18695.0,1007.57,1002.28,24.49,71.39,60.55
NSE:NYKAA,148.5,148.55,148.4,148.4,10330.0,148.46,148.56,34.62,45.45,53.56
NSE:APOLLOHOSP,5125.9,5127.0,5124.1,5124.1,4368.0,5128.05,5134.65,9.18,31.72,57.16
