symbol,open,high,low,close,volume,SMA5,SMA25,RSI,ADX,VAR,MACOV,CORR
NSE:ABCAPITAL,166.45,168.0,164.39999,165.64999,1891433.0,165.46,166.15,21.17,8.16,10.931969171074321,-0.3056144974498585,0.40323858921599903
NSE:FORTIS,288.79999,289.20001,279.04999,280.25,1220481.0,286.08,272.86,54.74,20.41,86.64812376846183,0.9897707844670343,0.9093209386357056
NSE:INDIANB,280.0,280.95001,273.20001,273.75,1575725.0,280.09,301.12,9.3,20.41,387.98006452903047,-0.28894309434363763,0.7529610763442645
NSE:ALKEM,3349.8999,3380.0,3327.6499,3348.45,77549.0,3317.34,3420.74,22.71,19.39,11379.456153583811,-0.24522176784489633,0.6506238069099151
NSE:TVSMOTOR,1296.35,1304.85,1278.55,1299.8,875198.0,1282.03,1213.9,85.27,44.9,1539.2991842100776,0.9570465368979416,0.8457376564254188
NSE:BATAINDIA,1586.5,1589.4,1569.3,1576.6,91619.0,1556.33,1515.95,56.26,24.49,742.997736842094,0.9591467576875176,0.3397403473381122
NSE:TATACOMM,1271.05,1285.0,1268.2,1278.25,195053.0,1262.3,1251.19,30.69,21.43,449.2315526315181,0.7161988087091224,-0.26405213522583304
NSE:ASHOKLEY,147.14999,147.14999,145.2,146.10001,7022143.0,147.94,147.33,38.51,51.02,13.319340342143112,0.8266241866604055,0.7433698855456513
NSE:PFC,173.8,177.2,172.14999,174.3,12923369.0,169.52,167.58,49.35,10.2,11.514757231634562,-0.5214513583635391,-0.1915423588047493
NSE:BHARATFORG,774.0,789.0,766.29999,787.20001,1359781.0,768.61,775.31,45.29,14.29,126.2650348842873,-0.5404547747120745,0.30757554730764136
NSE:GODREJPROP,1382.0,1388.6,1360.5,1374.9,434395.0,1359.15,1337.05,50.41,31.63,586.8480000001388,0.8356924977874444,0.3082335911541247
NSE:TRIDENT,32.400002,32.700001,32.299999,32.400002,6191235.0,33.33,32.62,55.63,14.91,1.3990208881601158,0.883539975349943,0.48185345942544566
NSE:OFSS,3604.95,3615.0,3564.0,3574.6499,30589.0,3575.0,3555.96,64.87,43.88,4382.571103533807,-0.2750627381869731,0.07738624754747672
NSE:ESCORTS,2098.95,2100.0,2076.8,2091.8501,125883.0,2065.11,2042.1,44.3,15.31,982.7604481102048,0.7995677293818017,0.7146036195783851
NSE:ADANIPOWER,259.89999,261.70001,255.5,256.39999,2581847.0,257.98,236.36,38.46,26.53,103.3055194711258,0.8418314106288733,-0.1610181694640459
NSE:ABFRL,198.05,198.39999,196.05,197.10001,1539443.0,197.15,206.27,35.51,24.49,118.91808251578819,0.7928718862750272,-0.8522808918944849
NSE:HONAUT,40500.0,40500.148,39650.0,39757.75,1841.0,39910.75,37512.0,49.09,55.1,2641031.6123798997,0.9652888889605803,0.8937353903972055
NSE:LUPIN,787.95001,811.70001,780.0,805.70001,1895651.0,783.86,749.0,78.96,27.55,968.2438344844528,0.9286148902653436,0.5711813152383488
NSE:ABBOTINDIA,21970.0,21988.0,21747.0,21893.801,6045.0,21722.85,21821.53,35.94,23.47,329677.1748094053,0.6789750920883703,0.2342471971856049
NSE:IGL,483.0,484.64999,479.0,480.75,1167944.0,479.68,486.8,35.37,7.14,67.83141274481504,-0.4178084375254507,0.6278063186106957
NSE:JSWENERGY,257.79999,258.29999,251.0,252.7,669161.0,253.03,256.2,45.47,17.35,41.74068548428739,-0.48137841974124734,0.17864199666180966
NSE:TTML,61.75,61.900002,61.099998,61.200001,1153321.0,61.26,62.2,10.91,25.51,3.516703209740256,0.036981663321607135,0.08783429608445649
NSE:YESBANK,15.65,16.200001,15.6,15.9,127417730.0,15.63,15.81,32.14,15.31,0.042342084736885846,-0.16585542481728163,-0.4554966866794779
NSE:DALBHARAT,2092.0,2107.8501,2066.6001,2093.05,205286.0,2065.24,2038.03,42.59,30.61,847.7998939760182,0.8912075079491155,0.2866510670897571
NSE:SUNTV,447.29999,450.75,442.5,447.20001,349888.0,443.83,435.11,52.43,10.2,44.11695211586535,0.8583700868838806,0.396905828609358
NSE:FLUOROCHEM,3303.05,3355.0,3303.05,3345.75,130112.0,3316.85,3331.14,55.99,10.2,2376.3099009516513,-0.7325505363928033,0.20376670130304525
NSE:VOLTAS,818.0,827.5,815.0,825.75,982588.0,812.36,811.47,50.03,4.08,46.411191200167146,0.18924102915258617,-0.0029369162495017113
NSE:HINDPETRO,260.0,260.04999,256.20001,257.70001,774477.0,259.19,255.49,35.1,22.45,7.109043936921393,0.7972744430528833,0.014343958606800336
NSE:LICHSGFIN,379.89999,383.60001,377.5,380.04999,1184824.0,376.37,366.04,50.94,55.1,75.29766373692838,0.7883484792253386,0.6996412357504613
NSE:OBEROIRLTY,935.0,939.59998,926.54999,929.65002,428091.0,930.84,926.45,51.15,35.71,434.8334420106665,0.5179891618384268,-0.09969794480028416
NSE:TRENT,1531.4,1544.5,1523.1,1537.9,347260.0,1517.1,1453.7,73.44,40.82,2101.817703947266,0.9499755193737216,0.6384042710614305
NSE:DELHIVERY,373.85001,373.85001,367.45001,369.95001,279537.0,365.67,365.72,49.52,13.27,22.671680442228322,-0.7439678848709598,-0.15302994525321734
NSE:SHRIRAMFIN,1388.0,1423.4,1383.6,1408.8,1175769.0,1380.14,1357.7,52.86,13.27,561.2911776316623,0.09925353619189381,-0.4109355789480554
NSE:POLYCAB,3428.8501,3439.1499,3394.45,3412.3,84643.0,3402.43,3313.81,60.3,34.69,6677.404910029488,0.9385863851946323,0.5708250430293281
NSE:RECLTD,134.5,137.8,134.0,135.85001,11395309.0,132.74,131.56,47.33,8.16,5.886915542157625,-0.1951061359728069,-0.056615379355551644
NSE:GLAND,929.29999,940.0,910.0,911.59998,503070.0,928.17,1248.3,11.38,15.31,45501.650373305274,0.7509660855767143,0.8742717937118677
NSE:AUBANK,780.29999,795.0,776.54999,790.40002,2625329.0,773.42,712.44,85.74,46.94,1341.8326756291335,0.9914944718592369,0.953002449517707
NSE:IPCALAB,686.45001,691.34998,675.45001,689.09998,962650.0,685.85,701.56,28.44,19.39,125.86995162134515,0.9461832274805712,-0.4319569454952317
NSE:NAVINFLUOR,4621.0498,4675.0,4607.1001,4640.7998,81574.0,4605.06,4702.19,19.91,27.55,8122.585104958493,-0.7945594562171294,0.7974580135843586
NSE:LAURUSLABS,334.85001,337.0,332.04999,334.64999,932053.0,330.43,316.58,42.04,12.24,98.01412305273011,0.5781195479489708,0.06369485479250106
NSE:PEL,775.0,784.90002,772.0,775.34998,726166.0,772.03,744.8,53.11,6.12,213.6727008660577,0.7990277756378441,0.2058404246901405
NSE:JINDALSTEL,525.09998,534.15002,523.25,531.79999,2046489.0,518.75,559.94,27.97,35.71,1062.4502941687401,0.2851607386521466,0.2904898856481477
NSE:AUROPHARMA,621.04999,621.04999,584.65002,611.29999,4209725.0,607.67,610.26,52.96,20.41,114.46568381859306,-0.5116580326920992,0.11336796201142434
NSE:BALKRISIND,2325.55,2367.45,2248.3,2280.5,1599906.0,2396.2,2199.58,70.24,43.88,12288.025746819605,0.9634978942873024,0.5864608822090184
